index, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 
ve30vtd17active/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 2, 1, 4, 3, 3, 4, 2, 4, 4, 8, 7, 7, 13, 20, 22, 33, 44, 81, 88, 139, 176, 237, 329, 376, 450, 491, 509, 498, 486, 401, 350, 320, 243, 221, 173, 155, 128, 116, 100, 88, 85, 72, 69, 65, 53, 51, 49, 2, 2, 1, 1, 1, 0, 1, 0, 0, 
ve30vtd38active/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 2, 4, 3, 4, 3, 2, 3, 5, 3, 4, 5, 8, 8, 10, 15, 15, 24, 39, 55, 71, 103, 136, 170, 222, 269, 322, 315, 351, 367, 375, 344, 347, 340, 313, 288, 286, 274, 267, 239, 199, 164, 150, 134, 121, 98, 89, 74, 2, 0, 2, 2, 1, 1, 0, 0, 0, 
ve70vtd17active/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 2, 3, 4, 3, 2, 3, 7, 5, 4, 5, 12, 12, 17, 24, 25, 44, 60, 85, 93, 157, 195, 244, 322, 358, 409, 457, 457, 467, 441, 376, 352, 293, 234, 199, 177, 151, 124, 102, 88, 86, 62, 65, 66, 54, 43, 47, 36, 1, 1, 2, 1, 1, 0, 0, 0, 0, 
ve70vtd38active/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 3, 6, 5, 4, 6, 4, 4, 5, 5, 7, 8, 9, 12, 18, 31, 30, 56, 72, 105, 144, 196, 243, 300, 346, 386, 395, 373, 350, 330, 295, 250, 192, 177, 155, 134, 138, 127, 126, 141, 144, 156, 169, 164, 164, 159, 136, 119, 3, 1, 2, 0, 1, 2, 1, 1, 0, 
ve30vtd17allonpost/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 4, 4, 4, 4, 5, 4, 5, 5, 6, 10, 7, 13, 15, 25, 34, 49, 76, 93, 134, 192, 235, 309, 358, 418, 441, 422, 402, 382, 313, 311, 294, 284, 259, 245, 228, 212, 185, 149, 136, 114, 106, 95, 92, 76, 71, 67, 63, 1, 1, 2, 1, 2, 0, 0, 1, 0, 
ve30vtd38allonpost/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 3, 3, 5, 3, 6, 4, 4, 6, 5, 6, 15, 16, 16, 30, 36, 47, 79, 106, 160, 177, 266, 319, 375, 387, 416, 390, 363, 301, 271, 243, 214, 180, 181, 183, 201, 196, 213, 219, 215, 206, 166, 164, 134, 119, 107, 91, 71, 83, 1, 1, 2, 0, 1, 1, 0, 0, 0, 
ve70vtd17allonpost/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 2, 3, 5, 2, 3, 3, 2, 4, 3, 5, 4, 5, 8, 7, 11, 11, 21, 28, 38, 60, 76, 110, 150, 189, 254, 302, 337, 373, 392, 407, 421, 402, 404, 397, 376, 325, 277, 224, 196, 165, 140, 122, 105, 96, 90, 73, 75, 2, 2, 1, 0, 1, 1, 0, 0, 1, 
ve70vtd38allonpost/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 2, 4, 5, 4, 5, 4, 6, 9, 12, 13, 17, 28, 34, 48, 72, 104, 125, 174, 233, 294, 363, 411, 434, 461, 459, 436, 410, 390, 341, 316, 277, 227, 193, 162, 140, 121, 105, 94, 91, 80, 67, 76, 62, 53, 60, 60, 57, 1, 1, 1, 3, 2, 1, 1, 1, 0, 
ve30vtd17milworkers/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 2, 1, 4, 3, 3, 4, 2, 4, 4, 8, 7, 7, 13, 20, 22, 33, 44, 81, 88, 139, 176, 237, 329, 376, 450, 491, 509, 498, 486, 401, 350, 320, 243, 221, 173, 155, 128, 116, 100, 88, 85, 72, 69, 65, 53, 51, 49, 2, 2, 1, 1, 1, 0, 1, 0, 0, 
ve30vtd38milworkers/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 2, 4, 3, 4, 3, 2, 3, 5, 3, 4, 5, 8, 8, 10, 15, 15, 24, 39, 55, 71, 103, 136, 170, 222, 269, 322, 315, 351, 367, 375, 344, 347, 340, 313, 288, 286, 274, 267, 239, 199, 164, 150, 134, 121, 98, 89, 74, 2, 0, 2, 2, 1, 1, 0, 0, 0, 
ve70vtd17milworkers/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 2, 3, 4, 3, 2, 3, 7, 5, 4, 5, 12, 12, 17, 24, 25, 44, 60, 85, 93, 157, 195, 244, 322, 358, 409, 457, 457, 467, 441, 376, 352, 293, 234, 199, 177, 151, 124, 102, 88, 86, 62, 65, 66, 54, 43, 47, 36, 1, 1, 2, 1, 1, 0, 0, 0, 0, 
