index, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 
ve30vtd17active/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 2, 4, 4, 3, 3, 4, 4, 5, 7, 10, 11, 13, 23, 35, 38, 58, 94, 112, 163, 207, 258, 309, 344, 375, 394, 401, 373, 361, 311, 283, 270, 235, 230, 216, 209, 218, 217, 208, 218, 208, 184, 180, 166, 160, 160, 157, 159, 25, 27, 23, 24, 18, 15, 11, 6, 7, 
ve30vtd38active/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 1, 4, 4, 3, 4, 4, 5, 4, 5, 5, 8, 12, 14, 22, 26, 35, 62, 82, 99, 155, 194, 244, 293, 322, 342, 347, 331, 293, 283, 244, 244, 235, 236, 217, 215, 173, 176, 151, 142, 146, 140, 144, 151, 162, 182, 205, 213, 20, 22, 21, 18, 16, 11, 7, 6, 4, 
ve70vtd17active/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 4, 3, 4, 5, 5, 4, 6, 5, 7, 9, 9, 13, 18, 22, 23, 42, 40, 68, 91, 114, 141, 176, 218, 234, 266, 295, 313, 328, 353, 344, 376, 367, 374, 359, 327, 295, 262, 251, 204, 192, 161, 161, 149, 134, 133, 132, 133, 25, 26, 19, 22, 20, 11, 11, 7, 6, 
ve70vtd38active/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 2, 4, 3, 3, 3, 5, 4, 3, 5, 7, 9, 7, 13, 19, 25, 33, 56, 72, 99, 127, 160, 193, 234, 281, 298, 319, 335, 321, 319, 296, 282, 271, 258, 244, 222, 181, 166, 145, 131, 124, 111, 103, 99, 98, 92, 94, 101, 16, 17, 15, 15, 12, 9, 6, 5, 3, 
ve30vtd17allonpost/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 2, 4, 4, 5, 5, 5, 5, 6, 6, 13, 9, 17, 21, 33, 36, 60, 85, 114, 144, 212, 245, 297, 335, 342, 346, 305, 289, 257, 233, 223, 208, 211, 215, 216, 217, 193, 191, 174, 160, 148, 154, 155, 150, 166, 180, 192, 220, 29, 27, 30, 26, 19, 16, 12, 8, 5, 
ve30vtd38allonpost/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 2, 3, 3, 3, 3, 3, 3, 3, 2, 3, 4, 4, 7, 5, 9, 15, 15, 25, 34, 44, 66, 91, 118, 151, 204, 243, 280, 331, 358, 387, 439, 446, 461, 424, 427, 384, 349, 314, 284, 246, 233, 210, 181, 181, 173, 176, 173, 25, 28, 29, 21, 18, 13, 8, 6, 6, 
ve70vtd17allonpost/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 2, 3, 2, 3, 5, 3, 3, 4, 5, 5, 5, 10, 10, 16, 17, 24, 32, 42, 59, 88, 115, 141, 184, 210, 239, 265, 261, 254, 291, 267, 272, 282, 268, 314, 314, 365, 364, 364, 349, 325, 271, 239, 221, 199, 175, 167, 166, 16, 21, 23, 17, 16, 11, 7, 6, 4, 
ve70vtd38allonpost/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 1, 5, 3, 4, 3, 5, 5, 4, 3, 8, 9, 11, 13, 20, 24, 42, 59, 62, 107, 137, 187, 224, 271, 312, 335, 364, 387, 393, 396, 376, 380, 369, 363, 325, 300, 259, 241, 203, 170, 155, 156, 137, 137, 136, 131, 125, 135, 20, 24, 24, 22, 13, 11, 7, 6, 5, 
ve30vtd17milworkers/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 2, 4, 4, 3, 3, 4, 4, 5, 7, 10, 11, 13, 23, 35, 38, 58, 94, 112, 163, 207, 258, 309, 344, 375, 394, 401, 373, 361, 311, 283, 270, 235, 230, 216, 209, 218, 217, 208, 218, 208, 184, 180, 166, 160, 160, 157, 159, 25, 27, 23, 24, 18, 15, 11, 6, 7, 
ve30vtd38milworkers/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 1, 4, 4, 3, 4, 4, 5, 4, 5, 5, 8, 12, 14, 22, 26, 35, 62, 82, 99, 155, 194, 244, 293, 322, 342, 347, 331, 293, 283, 244, 244, 235, 236, 217, 215, 173, 176, 151, 142, 146, 140, 144, 151, 162, 182, 205, 213, 20, 22, 21, 18, 16, 11, 7, 6, 4, 
